Title,Authors,Abstract,Published Year,Published Month,Journal,Field,subField,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Emerging Complexity in Distributed Intelligent Systems.,"Guleva, Valentina; Shikov, Egor; Bochenina, Klavdiya; Kovalchuk, Sergey; Alodjants, Alexander; Boukhanovsky, Alexander","Distributed intelligent systems (DIS) appear where natural intelligence agents (humans) and artificial intelligence agents (algorithms) interact, exchanging data and decisions and learning how to evolve toward a better quality of solutions. The networked dynamics of distributed natural and artificial intelligence agents leads to emerging complexity different from the ones observed before. In this study, we review and systematize different approaches in the distributed intelligence field, including the quantum domain. A definition and mathematical model of DIS (as a new class of systems) and its components, including a general model of DIS dynamics, are introduced. In particular, the suggested new model of DIS contains both natural (humans) and artificial (computer programs, chatbots, etc.) intelligence agents, which take into account their interactions and communications. We present the case study of domain-oriented DIS based on different agents' classes and show that DIS dynamics shows complexity effects observed in other well-studied complex systems. We examine our model by means of the platform of personal self-adaptive educational assistants (avatars), especially designed in our University. Avatars interact with each other and with their owners. Our experiment allows finding an answer to the vital question: How quickly will DIS adapt to owners' preferences so that they are satisfied? We introduce and examine in detail learning time as a function of network topology. We have shown that DIS has an intrinsic source of complexity that needs to be addressed while developing predictable and trustworthy systems of natural and artificial intelligence agents. Remarkably, our research and findings promoted the improvement of the educational process at our university in the presence of COVID-19 pandemic conditions.",2020,12//,Entropy,science,sci_entrop,22,12,1437,,,,#5457,Guleva 2020,,
An Advanced eLearning Environment Developed for Engineering Learners.,"Samarakou, Maria; Fylladitakis, Emmanouil D.; Früh, Wolf-Gerrit; Hatziapostolou, Antonios; Gelegenis, John J.","-Monitoring and evaluating engineering learners through computer-based laboratory exercises is a difficult task, especially under classroom conditions. A complete diagnosis requires the capability to assess both the competence of the learner to use the scientific software and the understanding of the theoretical principles. This monitoring and evaluation needs to be continuous, unobtrusive and personalized in order to be effective. This study presents the results of the pilot application of an eLearning environment developed specifically with engineering learners in mind. As its name suggests, the Learner Diagnosis, Assistance, and Evaluation System based on Artificial Intelligence (StuDiAsE) is an Open Learning Environment that can perform unattended diagnostic, evaluation and feedback tasks based on both quantitative and qualitative parameters. The base architecture of the system, the user interface and its effect on the performance of postgraduate engineering learners are being presented. ",2015,09//,International Journal of Emerging Technologies in Learning,education,edu_tech,10,3,22-33,,,,#5408,Samarakou 2015,,
Performance and usability of machine learning for screening in systematic reviews: a comparative evaluation of three tools.,"Gates, Allison; Guitard, Samantha; Pillay, Jennifer; Elliott, Sarah A.; Dyson, Michele P.; Newton, Amanda S.; Hartling, Lisa","Background: We explored the performance of three machine learning tools designed to facilitate title and abstract screening in systematic reviews (SRs) when used to (a) eliminate irrelevant records (automated simulation) and (b) complement the work of a single reviewer (semi-automated simulation). We evaluated user experiences for each tool. Methods: We subjected three SRs to two retrospective screening simulations. In each tool (Abstrackr, DistillerSR, RobotAnalyst), we screened a 200-record training set and downloaded the predicted relevance of the remaining records. We calculated the proportion missed and workload and time savings compared to dual independent screening. To test user experiences, eight research staff tried each tool and completed a survey. Results: Using Abstrackr, DistillerSR, and RobotAnalyst, respectively, the median (range) proportion missed was 5 (0 to 28) percent, 97 (96 to 100) percent, and 70 (23 to 100) percent for the automated simulation and 1 (0 to 2) percent, 2 (0 to 7) percent, and 2 (0 to 4) percent for the semi-automated simulation. The median (range) workload savings was 90 (82 to 93) percent, 99 (98 to 99) percent, and 85 (85 to 88) percent for the automated simulation and 40 (32 to 43) percent, 49 (48 to 49) percent, and 35 (34 to 38) percent for the semi-automated simulation. The median (range) time savings was 154 (91 to 183), 185 (95 to 201), and 157 (86 to 172) hours for the automated simulation and 61 (42 to 82), 92 (46 to 100), and 64 (37 to 71) hours for the semi-automated simulation. Abstrackr identified 33–90% of records missed by a single reviewer. RobotAnalyst performed less well and DistillerSR provided no relative advantage. User experiences depended on user friendliness, qualities of the user interface, features and functions, trustworthiness, ease and speed of obtaining predictions, and practicality of the export file(s). Conclusions: The workload savings afforded in the automated simulation came with increased risk of missing relevant records. Supplementing a single reviewer's decisions with relevance predictions (semi-automated simulation) sometimes reduced the proportion missed, but performance varied by tool and SR. Designing tools based on reviewers' self-identified preferences may improve their compatibility with present workflows. Systematic review registration: Not applicable.",2019,11/15/,Systematic Reviews,education,edu_sr,8,1,N.PAG-N.PAG,,,,#5453,Gates 2019,,
"From data to personal user models for life‐long, life‐wide learners.","Kay, Judy; Kummerfeld, Bob","As technology has become ubiquitous in learning contexts, there has been an explosion in the amount of learning data. This creates opportunities to draw on the decades of learner modelling research from Artificial Intelligence in Education and more recent research on Personal Informatics. We use these bodies of research to introduce a conceptual model for a Personal User Model for Life‐long, Life‐wide Learners (PUMLs). We use this to define a core set of system competency questions. A successful PUML and its interface must enable a learner to answer these by scrutinising their PUML, aided by its scaffolding interfaces. We aim to give learners both control over their own learning data and the means to harness that data for the important metacognitive processes of self‐monitoring, reflection and planning. We conclude with a set of design guidelines for creating PUMLs. Our core contribution is a way to think about the design and evaluation of learning data and applications so that they give learner control and agency beyond simple data access and algorithmic transparency. Practitioner NotesWhat is already known about this topic There is decades of Artificial Intelligence in Education (AIED) research on learner modelling, personalisation and Open Learner Models (OLMs).There is a growing body of work on Personal Informatics.What this paper adds Drawing on the above research, we present a conceptual model showing how learning applications and data repositories relate to a Personal User Model for Life‐long, Life‐wide Learners (PUMLs).A set of competency questions to inform design and evaluation of PUMLs.Guidelines for designing interfaces that enable learners to scrutinise and control their learning data and models.Implications for practice and/or policy As universities create institutional repositories of learning data, our work takes a complementary, learner‐centred perspective of learning data, applications and repositories.PUMLs offer a mechanism to support student's meta‐cognitive processes.PUMLs go beyond simplistic views of data access and transparency of algorithmic processes—empowering learners to scrutinise their long‐term data and its use.",2019,11//,British Journal of Educational Technology,education,edu_tech,50,6,2871-2884,,,,#4793,Kay 2019,,
Authoring Effective Embedded Tutors: An Overview of the Extensible Problem Specific Tutor (xPST) System.,"Gilbert, Stephen; Blessing, Stephen; Guo, Enruo","The Extensible Problem Specific Tutor (xPST) allows authors who are not cognitive scientists and not programmers to quickly create an intelligent tutoring system that provides instruction akin to a model-tracing tutor. Furthermore, this instruction is overlaid on existing software, so that the learner's interface does not have to be made from scratch. The xPST architecture allows for extending its capabilities by the addition of plug-ins that communicate with additional third-party software. After reviewing this general architecture, we describe three major implementations that we have created using the xPST system, each using different third-party software as the learner's interface. We have conducted three evaluations of authors using xPST to create tutoring content, and these are considered in turn. These evaluations show that xPST authors can quickly learn the system, and can efficiently produce successful embedded instruction. ",2015,09//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,25,3,428-454,,,,#4789,Gilbert 2015,,
When Does Scaffolding Provide Too Much Assistance? A Code-Tracing Tutor Investigation.,"Jennings, Jay; Muldner, Kasia","When students are first learning to program, they not only have to learn to write programs, but also how to trace them. Code tracing involves stepping through a program step-by-step, which helps to predict the output of the program and identify bugs. Students routinely struggle with this activity, as evidenced by prior work and our own experiences in the classroom. To address this, we designed a Code Tracing (CT)-Tutor. We varied the level of assistance provided in the tutor, based on (1) the interface scaffolding available during code tracing, and (2) instructional order, operationalized by when examples were provided, either before or after the corresponding problem was solved. We collected data by having participants use the tutor to solve code tracing problems (N = 97) and analyzed both learning outcomes and process data obtained by extracting features of interest from the log files. We used a multi-layered approach for the analysis, including standard inferential statistics and unsupervised learning to cluster students by their behaviors in the tutor. The results show that the optimal level of assistance for code tracing falls in the middle of the assistance spectrum included in the tutor, but also that there are individual differences in terms of optimal assistance for subgroups of individuals. Based on these results, we outline opportunities for future work around personalizing instruction for code tracing.",2021,12//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,31,4,784-819,,,,#5308,Jennings 2021,,
An intelligent tutor for teaching software design patterns.,"Berdun, Luis; Amandi, Analia; Campo, Marcelo","ABSTRACT How to teach students to design in the classroom? When is experience crucial to do design? In particular, how to teach design patterns to students who are beginning to know the importance of a good design? Experience is essential to understand and apply patterns in an effective way. Generally, novice users are not good at working in real experiences while they are good at learning new techniques and methods for designing. In this work, we show the results of teaching patterns using an artificial intelligent assistant that helps novice developers during the design process. Our assistant is an interface agent that observes novice users working, and when it detects that a design pattern can be applied, it makes a suggestion justifying its opinion. Thus, students understand when and where a pattern could be applied.",2014,12//,Computer Applications in Engineering Education,education,edu_eng_comput,22,4,583-592,,,,#5295,Berdun 2014,,
Promoting students' learning achievement and self‐efficacy: A mobile chatbot approach for nursing training.,"Chang, Ching‐Yi; Hwang, Gwo‐Jen; Gau, Meei‐Ling","The aims of nursing training include not only mastering skills but also fostering the competence to make decisions for problem solving. In prenatal education, cultivating nurses' knowledge and competence of vaccine administration is a crucial issue for protecting pregnant women and newborns from infection. Therefore, obstetric vaccination knowledge has become a basic and essential training program for nursing students. However, most of these training programs are given via the lecture‐based teaching approach with skills practice, providing students with few opportunities to think deeply about the relevant issues owing to the lack of interaction and context. This could have a negative impact on their learning effectiveness and clinical judgment. To address this problem, a mobile chatbot‐based learning approach is proposed in this study to enable students to learn and think deeply in the contexts of handling obstetric vaccine cases via interacting with the chatbot. In order to verify the effectiveness of the proposed approach, an experiment was implemented. Two classes of 36 students from a university in northern Taiwan were recruited as participants. One class was the experimental group learning with the proposed approach, while the other class was the control group learning with the conventional approach (ie, giving lectures to explain the instructional content and training cases). The results indicate that applying a mobile chatbot for learning can enhance nursing students' learning achievement and self‐efficacy. In addition, based on the analysis of the interview results, students generally believed that learning through the mobile chatbot was able to promote their self‐efficacy as well as their learning engagement and performance.  Practitioner notes What is already known about this topic  Issues relevant to AI technology in education have been extensively discussed and explored around the world. Among the various AI systems, the potential of chatbots has been highlighted by researchers owing to the user‐friendly interface developed using the natural language processing (NLP) technology. Few studies using AI chatbots in professional training have been conducted.  What this paper adds  In this study, a mobile chatbot was used in a nursing training program to enhance students' learning achievement and self‐efficacy for handling vaccine cases. The mobile chatbot significantly improved the students' learning achievement and self‐efficacy in comparison with the conventional learning approach in the vaccine training program. From the interview results, it was found that the students generally believed that the mobile chatbot was able to promote their self‐efficacy as well as learning engagement and performances in the vaccine training program.  Implications for practice and/or policy  Mobile chatbots have great potential for professional training owing to their convenient and user‐friendly features. It would be worth applying mobile chatbots as well as other NLP‐based applications to other professional training programs in the future.   What is already known about this topic  Issues relevant to AI technology in education have been extensively discussed and explored around the world. Among the various AI systems, the potential of chatbots has been highlighted by researchers owing to the user‐friendly interface developed using the natural language processing (NLP) technology. Few studies using AI chatbots in professional training have been conducted. What this paper adds  In this study, a mobile chatbot was used in a nursing training program to enhance students' learning achievement and self‐efficacy for handling vaccine cases. The mobile chatbot significantly improved the students' learning achievement and self‐efficacy in comparison with the conventional learning approach in the vaccine training program. From the interview results, it was found that the students generally believed that the mobile chatbot was able to promote their self‐efficacy as well as learning engagement and performances in the vaccine training program. Implications for practice and/or policy  Mobile chatbots have great potential for professional training owing to their convenient and user‐friendly features. It would be worth applying mobile chatbots as well as other NLP‐based applications to other professional training programs in the future",2021,08/22/,British Journal of Educational Technology,education,edu_tech,,,1,,,,#5038,Chang 2021,,
NeuroSim: A Circuit-Level Macro Model for Benchmarking Neuro-Inspired Architectures in Online Learning.,"Chen, Pai-Yu; Peng, Xiaochen; Yu, Shimeng","Neuro-inspired architectures based on synaptic memory arrays have been proposed for on-chip acceleration of weighted sum and weight update in machine/deep learning algorithms. In this paper, we developed NeuroSim, a circuit-level macro model that estimates the area, latency, dynamic energy, and leakage power to facilitate the design space exploration of neuro-inspired architectures with mainstream and emerging device technologies. NeuroSim provides flexible interface and a wide variety of design options at the circuit and device level. Therefore, NeuroSim can be used by neural networks (NNs) as a supporting tool to provide circuit-level performance evaluation. With NeuroSim, an integrated framework can be built with hierarchical organization from the device level (synaptic device properties) to the circuit level (array architectures) and then to the algorithm level (NN topology), enabling instruction-accurate evaluation on the learning accuracy as well as the circuit-level performance metrics at the run-time of online learning. Using multilayer perceptron as a case-study algorithm, we investigated the impact of the “analog” emerging nonvolatile memory (eNVM)’s “nonideal” device properties and benchmarked the tradeoffs between SRAM, digital, and analog eNVM-based architectures for online learning and offline classification.",2018,12//,IEEE Transactions on Computer-Aided Design of Integrated Circuits & Systems,technology,tech_cad,37,12,3067-3080,,,,#5271,Chen 2018,,
A competency-based guided-learning algorithm applied on adaptively guiding e-learning.,"Hsu, Wei-Chih; Li, Cheng-Hsiu","This paper presents a new algorithm called competency-based guided-learning algorithm (CBGLA), which can be applied on adaptively guiding e-learning. Computational process analysis and mathematical derivation of competency-based learning (CBL) were used to develop the CBGLA. The proposed algorithm could generate an effective adaptively guiding learning path in order that it would guide the learners to study adaptively without requiring teacher involvement. In order to verify the effectiveness for the CBGLA, a system is implemented. Using statistical methods, the data of which are collected from the students' learning activities on the system, we have verified the efficiency of the CBGLA by the comparison of the pre-test and post-test scores of students. While the learning materials possess fixed scope and could be classified into several categories, students could even learn more effective under the guidance of CBGLA system than a teacher. Analyzing the questionnaire, it also has been shown that learners were very satisfied with the design of the system user interface and the guided-learning mechanism. ",2015,02//,Interactive Learning Environments,education,edu_learn,23,1,106-125,,,,#5270,Hsu 2015,,
A bridge to systems thinking in engineering design: An examination of students’ ability to identify functions at varying levels of abstraction.,"Bohm, Matthew; Eckert, Claudia; Sen, Chiradeep; Srinivasan, Venkatamaran; Summers, Joshua D.; Vermaas, Pieter; Tomko, Megan; Nelson, Jacob; Nagel, Robert L.; Linsey, Julie","This paper aims to situate functional abstraction in light of systems thinking. While function does not extensively appear in systems thinking literature, the literature does identify function as part of systems thinking that enables us to recognize and connect that function has a role in building a systems thinking approach for students. A systems thinking approach is valuable for students since it helps them view a system holistically. In this research, we measure how well students are able to abstract function. We asked students to generate functions for two different products and examined how students taught functional modeling and function enumeration compare to students who are only taught function enumeration. The student responses were examined using a rubric that we developed and validated for assessing function. This rubric may be used to classify functions by correctness (correct, partially correct, and incorrect) and categories (high level, interface, low level, and ambiguous). On questions where students were not explicitly asked to write a high-level function or low-level function, and so on, students who were taught functional modeling were able to better demonstrate systems thinking in their responses (low-level and interface functions) than those students who were only taught function enumeration.",2017,11//,AI EDAM,ai,ai,31,4,535-549,,,,#5265,Bohm 2017,,
Development and Evaluation of Game-Based Learning System Using the Microsoft Kinect Sensor.,"Tsai, Chih-Hsiao; Kuo, Yin-Hao; Chu, Kuo-Chung; Yen, Jung-Chuan","This paper investigates the capability of Kinect sensor as interactive technology and discusses how it can assist and improve teaching and learning. The Kinect sensor is a motion sensor that provides a natural user interface. It was implemented by Microsoft for the Xbox 360 video-game console to create a new control-free experience for the user without any intermediary device. The Kinect sensor can enhance kinesthetic pedagogical practices to profit learners with strong bodily-kinesthetic intelligence (body smart). As a learning tool, the Kinect sensor has potential to create interactive games, to increase learner motivation, and to enhance learning efficiency via its multimedia and multisensory capacity. Many students must learn spatial skills to improve learning achievement in science, mathematics, and engineering. This paper will focus on developing the Kinect sensor-assisted game-based learning system with ARCS model to provide kinesthetic pedagogical practices for learning spatial skills, motivating students, and enhancing students’ effectiveness. The responses to the System Usability Scale indicated that our system demonstrated usability and learnability. We conclude that the Kinect sensor-assisted learning system promotes the development of students’ spatial visualization skills and encourages them to become active learners. [ABSTRACT FROM AUTHOR]Copyright of International Journal of Distributed Sensor Networks is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",2015,07/12/,International Journal of Distributed Sensor Networks,technology,tech_sn,2015,,1-10,,,,#5016,Tsai 2015,,
Accelerating Reinforcement Learning using EEG-based implicit human feedback.,"Xu, Duo; Agarwal, Mohit; Gupta, Ekansh; Fekri, Faramarz; Sivakumar, Raghupathy","Providing Reinforcement Learning (RL) agents with human feedback can dramatically improve various aspects of learning. However, previous methods require human observer to give inputs explicitly (e.g., press buttons, voice interface), burdening the human in the loop of RL agent's learning process. Further, providing explicit human advise (feedback) continuously is not always possible or too restrictive, e.g., autonomous driving, disabled rehabilitation, etc. In this work, we investigate capturing human's intrinsic reactions as implicit (and natural) feedback through EEG in the form of error-related potentials (ErrP), providing a natural and direct way for humans to improve the RL agent learning. As such, the human intelligence can be integrated via implicit feedback with RL algorithms to accelerate the learning of RL agent. We develop three reasonably complex 2D discrete navigational games to experimentally evaluate the overall performance of the proposed work. And the motivation of using ErrPs as feedbacks is also verified by subjective experiments. Major contributions of our work are as follows, (i) we propose and experimentally validate the zero-shot learning of ErrPs, where the ErrPs can be learned for one game, and transferred to other unseen games, (ii) we propose a novel RL framework for integrating implicit human feedbacks via ErrPs with RL agent, improving the label efficiency and robustness to human mistakes, and (iii) compared to prior works, we scale the application of ErrPs to reasonably complex environments, and demonstrate the significance of our approach for accelerated learning through real user experiments",2021,10/24/,Neurocomputing,technology,tech_nc,460,,139-153,,,,#4857,Xu 2021,,
Designing Crowdcritique Systems for Formative Feedback.,"Easterday, Matthew; Rees Lewis, Daniel; Gerber, Elizabeth","Intelligent tutors based on expert systems often struggle to provide formative feedback on complex, ill-defined problems where answers are unknown. Hybrid crowdsourcing systems that combine the intelligence of multiple novices in face-to-face settings might provide an alternate approach for providing intelligent formative feedback. The purpose of this study was to develop empirically grounded design principles for crowdcritique systems that provide intelligent formative feedback on complex, ill-defined problems. In this design research project, we iteratively developed and tested a crowdcritique system through 3 studies of 43 novice problem solvers in 3 formal and informal learning environments. We collected observations, interviews, and surveys and used a grounded theory approach to develop and test socio-technical design principles for crowdcritique systems. The project found that to provide formative feedback on ill-defined problems, crowdcritique systems should provide a combination of technical features including: quick invite tools; formative framing; a public, near-synchronous social media interface; critique scaffolds; 'like' system; community hashtags; analysis tools and 'to do' lists; along with social practices including: prep/write-first/write-last script and critique training. Such a system creates a dual-channel conversation that increases the volume of quality critique by grounding comments, scaffolding and recording critique, and reducing production blocking. Such a design provides the benefits of both face-to-face critique and computer-support in both formal and informal learning environments while reducing the orchestration burden on instructors. [ABSTRACT FROM AUTHOR]",2017,09//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,27,3,623-663,,,,#4846,Easterday 2017,,
Design and Emergence of a Pedagogical Online InfoSec Laboratory as an Ensemble Artefact.,"Iqbal, Sarfraz","Information security (InfoSec) education becomes increasingly important. Building hands-on capabilities to tackle challenges is a precondition to mitigate and eliminate cyber threats. Existing studies, however, show that the field lacks pedagogically founded information security laboratories that can be used flexibly to educate both on-campus and online learners. To address this issue, this paper reports on an online InfoSec laboratory. Development of the laboratory follows an action design research approach. For this purpose, initial design principles were used that are derived from the existing pedagogical theories such as Conversational Framework, Constructive Alignment, and Personalized System of Instruction, literature reviews and empirical data. Through iterative cycles of building, intervention, and evaluation of an InfoSec laboratory, and side-by-side critical reflections, this study refines the conceptual model of an online InfoSec laboratory and initial design principles and provides general guidelines on the process of establishing a pedagogically underpinned online InfoSec laboratory for hands-on exercises. This study contributes by serving two major purposes. First, this study proposes a conceptual model of an online InfoSec laboratory that comprises important entities: Laboratory Infrastructure, Exercise (document), Exercise Processing and Management Interface (EPI), and Concrete Exercise Interface. Secondly, the research proposes design principles for implementing a conceptual model of an online InfoSec laboratory in different educational contexts.",2016,//Winter2016,Journal of Information Systems Education,technology,tech_edu,27,1,17-35,,,,#4798,Iqbal 2016,,
On human-machine relations.,"Degani, Asaf; Goldman, Claudia; Deutsch, Omer; Tsimhoni, Omer","This paper presents an approach to human-machine interactions based on the concept of teamwork and the psychological theory of object relations. We envision the human and the machine in a close relationship that has many aspects of human-to-human relations. Not only does the machine have to relate to and accommodate human wants and needs, but also, to some extent, the human is called to reciprocate. We propose a framework consisting of eleven attributes that describe generic processes in teamwork: commitment, goal definition, common ground, belief, planning, transparency, sensitivity, caring, responsibility, trust, and reflection. Using an automotive climate control system as an example, we show how some of these attributes can be used to evaluate user interactions and point to new design opportunities. Based on results from a pilot study of driver interaction with the climate control system, we operationalized sensitivity and caring for other team members, encapsulated them in a computational architecture, and implemented a control interface. The evaluation of the control interface during a driving experiment suggests that it is markedly better than a regular interface and is almost as good as a human expert who interacts with the climate control system in response to the driver's needs and wants.",2017,09//,"Cognition, Technology & Work",science,sci_cog,19,2/3,211-231,,,,#4661,Degani 2017,,
Development and Usability Test of an e-Learning Tool for Engineering Graduates to Develop Academic Writing in English: A Case Study.,Chih-Chung Lin; Gi-Zen Liu; Tzong-I Wang,"Many non-native English speaking (NNES) graduates are required to write academic papers in English; consequently, recent research in the past decade has been devoted to investigating the usefulness of genrebased Writing Instructions (GBWI) on learners' writing cultivation. There is little specific guidance, however, on how GBWI can be employed in online learning environments. The study aimed to design an elearning tool with a Chinese-based interface and to evaluate its perceived usefulness on users' English academic writing development. Needs analysis and GBWI were employed as the main approaches for the system development, for which 32 participants involved in the trail. The results indicate that the participants considered the system useful and helpful while learning English academic writing and extract the design principles derived from the empirical results in the study. The findings provide both learning content developers and e-learning tool designers with developmental insights for graduates to acquire academic writing ability in English. In conclusion, this study contributes to the understanding of GBWI acting on the NNES engineering graduates' development of English academic writing knowledge and skills with the development of e-learning tools",2017,10//,Journal of Educational Technology & Society,education,edu_tech,20,4,148-161,,,,#4611,Chih-ChungLin 2017,,
Closing the chasm between virtual and physical delivery for innovative learning spaces using learning analytics.,"Saleeb, Noha","Purpose: One of the misconceptions of teaching and learning for practical-based programmes, such as engineering, sciences, architecture, design and arts, is the necessity to deliver via face-to-face physical modality. This paper refutes this claim by providing case studies of best practices in delivering such courses and their hands-on skillsets using completely online virtual delivery that utilises different formats of 2D and 3D media and tools, supported by evidence of efficiency using learning analytics. Design/methodology/approach: The case studies were designed using pedagogical principles of constructivism and deep learning, conducted within a mixture of 2D and 3D virtual learning environments with flexible interface and tools capabilities. State-of-the-art coding and scripting techniques were also used to automate different student tasks and increase engagement. Regression and descriptive analysis methods were used for Learning Analytics. Findings: Learning analytics of all case studies demonstrated the capability to achieve course/project learning outcomes, with high engagement from students amongst peers and with tutors. Furthermore, the diverse virtual learning tools used, allowed students to display creativity and innovation efficiently analogous to physical learning. Originality/value: The synthesis of utilised media and tools within this study displays innovation and originality in combining different technology techniques to achieve an effectual learning experience. That would usually necessitate face-to-face, hands-on physical contact to perform practical tasks and receive feedback on them. Furthermore, this paper provides suggestions for future research using more advanced technologies.",2021,03//,International Journal of Information & Learning Technology,education,edu_tech,38,2,209-229,,,,#4683,Saleeb 2021,,
"Connections between e-learning, web science, cognitive computation and social sensing, and their relevance to learning analytics: A preliminary study.","Arafat, Sachi; Aljohani, Naif; Abbasi, Rabeeh; Hussain, Amir; Lytras, Miltiadis","Abstract In this paper we explore the interrelationship between the sociotechnical-pedagogical culture of e-learning, the emerging disciplines of Web science, Social Sensing and that of Cognitive Computation–as an emerging paradigm of computation. We comment in particular on the importance of this relation for the development of learning-analytics discourse. Moreover, we present an initial relational framework between these disciplines and suggest how these relations can be exploited to solve problems in each area. This paper argues for (a) the particular importance of the abstract class of 'learning machines' for Web science, (b) understanding cognitive computation as a necessary practical framework for the increasingly dominating, situated informal learning context, and (c) the potential benefit of Web science frameworks for investigating both, contemporary research questions in e-learning and the development of theories for informal ubiquitous learning. Finally, we argue that exploring links between these disciplines is necessary for improving practical research, for the purpose of developing learning-analytics methodology for evaluating the growing types of modern e-learning contexts such as the informal situated learning context. Highlights • Web Science, Cognitive Computing, E-learning and Social Sensing are connected. • Informal situated-learning is becoming the most prevalent form of e-learning. • Situated learning argued to be significant form of social machine (from Web Science). • Progress in learning-analytics depends on exploiting relations with these disciplines. ",2019,03//,Computers in Human Behavior,technology,tech_human_inter,92,,478-486,,,,#4675,Arafat 2019,,
AI in Informal Science Education: Bringing Turing Back to Life to Perform the Turing Test.,"Gonzalez, Avelino; Hollister, James; DeMara, Ronald; Leigh, Jason; Lanman, Brandan; Lee, Sang-Yoon; Parker, Shane; Walls, Christopher; Parker, Jeanne; Wong, Josiah; Barham, Clayton; Wilder, Bryan","This paper describes an interactive museum exhibit featuring an avatar of Alan Turing that informs museum visitors about artificial intelligence and Turing's seminal Turing Test for machine intelligence. The objective of the exhibit is to engage and motivate visiting children in the hope of sparking an interest in them about computer science and artificial intelligence, and cause them to consider pursuing future studies and/or careers in these fields. The exhibit interacts with the visitors, allowing them to participate in a simplified version of Turing's test that is brief and informal to suit the limitations of a five-minute exhibit. In this exhibit, the visitor (targeted towards middle school age children) invokes an avatar of his/her own choice, and acts to endow it with human-like qualities (voice, brain, eyesight and hearing). Then, the visitor engages the avatar in a (brief) question-and-answer session to determine whether the visitor thinks that he/she is interacting with a real human on a video conference or with an avatar. We consider this interaction to be an extension of the original Turing Test because, unlike Turing's original that used text via a teletype, this version features a graphical embodiment of an agent with which one can converse in spoken natural language. This extension serves to make passing the Turing Test more difficult, as now the avatar must not only communicate like a human, but also look, sound and act the part. It also makes the exhibit visual, dynamic and interesting to the visitors. Evaluations were performed with museum visitors, both in backrooms with prototypes as well as on the museum floor with the final version. The formative and summative evaluations performed indicated overall success in engaging the museum visitors and increasing their interest in computer science. More specifically, the formative testing, mostly done in quiet back rooms with selected test subjects, indicated that on the important questions about enjoyment of exhibit and increased interest in computer science by the test subjects, their self-reported Likert scale responses (1 being negative and 5 being positive) increased from 3.16 in the first evaluation to 4.38 in the third one for increased interest in CS. Likewise for the question about exhibit enjoyment (from 3.92 to 4.56). The summative evaluation, done through unobtrusive observation of exhibit use on museum floor, indicated that almost 74% of the parties that initiated the exhibit were either highly or moderately engaged by the exhibit. However, there was one major negative finding, namely the overly long duration of the exhibit, which may have caused premature abandonment of the exhibit in several cases during the summative evaluation. These tests and their results are presented and discussed in detail in this paper. The exhibit has been on permanent display at the Orlando (FL) Science Center since June 2014 and has received a strongly positive response from visitors since that time.",2017,06//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,27,2,353-384,,,,#4465,Gonzalez 2017,,
Design framework of adaptive intelligent tutoring systems.,"Erümit, Ali Kürşat; Çetin, İsmail","The aim of this study is to examine adaptation elements and Intelligent Tutoring System (ITS) elements used in Adaptive Intelligent Tutoring Systems (AITSs), using meta-synthesis methods to analyze the results of previous research. Toward this end, articles appearing in the Web of Science, Google Scholar, Eric and Science Direct databases in 2000 and later were identified with the keyphrase ""adaptive intelligent tutoring system."" Application of exclusion and inclusion procedures to the articles accessed in the search resulted in the selection of 32 articles, which were analyzed using meta-synthesis methods and then evaluated in the light of prespecified themes and elements used in AITSs were determined. According to results, the systems were designed for a wide range of fields such as Information Technologies, Mathematics, Science, Medicine, and Foreign Language Education. In these systems, content adaptation was generally used, based mostly on such criteria as feedback, student level, student learning and cognitive styles, and student performance. And besides 4 basic ITS modules (knowledge, student, teaching and user interface), some different modules such as guide module, strategy module, personal learning module, knowledge base module, communication module, system administrator module and messaging module were used. Finally, some suggestions were given for such studies in the future. ",2020,09//,Education & Information Technologies,education,edu_computr,25,5,4477-4500,,,,#5084,Erümit 2020,,
"Design, Construction and Evaluation of a Web Application for the Teaching-Learning Process on Financial Mathematics.","Salas-Rueda, Ricardo-Adán","This quantitative research aims to analyze the impact of the Web Application for the Teaching-Learning process on Simple Discount (WATLSD) through data science and machine learning (linear regression). The sample is composed of 42 students of the careers in Administration and Marketing who attended the Financial Mathematics course during the 2018 school year. The ADDIE model allows organizing the construction of the WATLSD through the stages of Analysis, Design, Development, Implementation and Evaluation. The results of machine learning indicate that the use of the WATLSD during the learning process positively influences the motivation, active role and development of mathematical skills. Likewise, data science establishes 3 predictive models on the use of the WATLSD in the educational field. Finally, advances in technology such as the WATLSD allow the creation of new virtual spaces for learning and teaching.",2020,08//,International Journal of Emerging Technologies in Learning,education,edu_tech,15,8,100-115,,,,#4487,Salas-Rueda 2020,,
